"method","total_time","rhat_theta1_max","rhat_theta2_max","rhat_W1","rhat_W2","ess_bulk_theta1_mean","ess_tail_theta1_mean","ess_bulk_theta1_min","ess_tail_theta1_min","ess_bulk_theta2_mean","ess_tail_theta2_mean","ess_sec_theta1_bulk_mean","ess_sec_theta1_tail_mean","ess_sec_theta2_bulk_mean","ess_sec_theta2_tail_mean","log_lik","log_cpo"
"montoril",21.592,1.00041624222924,1.00007852152191,1.0003683910563,1.00086021969588,23337.000911654,42133.4726799757,7157.48483928297,14020.5841293969,205564.55179837,138764.420024595,1080.81701146971,1951.34645609373,9520.40347343324,6426.65894889751,-333.155268552053,-389.46549572261
"pg_apf",395.008,1.00064217276222,1.00015594585459,1.00038211687203,1.00178252154561,50031.8837038644,53058.0227773164,6135.66336225467,9052.48651748573,50023.2320592783,36990.0962418765,126.660431444083,134.321387863832,126.638528989991,93.6439166849189,-333.414117041109,-387.724406395723
"sir_laplace",3.866,1.00026133626807,1.00030175098454,1.00056577154083,1.00249586710886,26632.3534115078,27829.1416723872,10902.8576008974,22474.8344727847,27061.8252015284,19633.2951475119,6888.86534182819,7198.43292094857,6999.95478570316,5078.4519264128,-333.330589212119,-387.93511892462
"sir_collapsed",9.723,1.00021285617371,1.00022168626989,1.00010522822556,1.00001866818493,29316.0396760229,29271.0131696843,26001.0978563164,27371.5537995674,28040.5549602007,28444.0786353804,3015.12287113267,3010.49194381202,2883.94065208277,2925.44262422919,-333.144845134068,-387.231422627025
"stan",368.293,1.00054161431125,1.00381667592254,1.00063754544727,1.00982038436329,29060.9297525497,22831.9265462308,13735.2614975976,18381.4394672946,2428.25599469403,4954.99201263405,78.9070923220091,61.9939193691728,6.59327219006072,13.4539402395214,-332.899782710874,-388.762939961246
