"method","S_full","N","n_replicates","predictive_loglik_mean","predictive_loglik_sd","predictive_loglik_se"
"montoril",300000,2e+05,100,-409.578622806624,0.0900642778671858,0.00900642778671858
"pg_apf",60000,2e+05,100,-409.591307042677,0.0885657768751697,0.00885657768751697
"sir_laplace",30000,2e+05,100,-409.584122901784,0.0770763830180143,0.00770763830180143
"sir_collapsed",30000,2e+05,100,-409.58912031847,0.0861484123593264,0.00861484123593264
"stan",30000,2e+05,100,-409.580437953513,0.0784252643655825,0.00784252643655825
