"method","f","Tt","R","rmse_mean","rmse_sd","mae_mean","mae_sd","coverage","coverage_se","coverage_wilson_lower","coverage_wilson_upper","width_mean","ess_sec_theta1_mean","ess_sec_theta1_sd","ess_sec_theta_01_mean","elapsed_time_mean"
"montoril","constant",1600,200,0.125005507763714,0.00716774102042945,0.0874445837986733,0.00713823399152843,0.957334375,0.0142907783978619,0.919663686057364,0.9777678328218,0.469701115373935,2.26940554878,0.384361503405344,1.3373462065756,81.274175
"montoril","constant",200,200,0.208064840989564,0.0200116258175605,0.151690392538533,0.0187089414154788,0.91545,0.0196724804612941,0.868634166497302,0.946607251815827,0.710612918433889,84.8095950854407,35.1472075577651,56.5553874456866,10.19428
"montoril","constant",400,200,0.176248453984397,0.0155230115709215,0.125506379507374,0.0146306100614114,0.9295625,0.0180936533892067,0.885419360041999,0.957515148934132,0.614239921405505,26.1717831824544,7.47411012339718,16.6926096134975,20.206115
"montoril","constant",800,200,0.14767853263391,0.010873670568316,0.103085078302905,0.0102076446688787,0.9437625,0.0162903105547055,0.902686503713657,0.96811279799336,0.53466210709654,7.7302943679908,1.83024666772745,4.70929277423672,40.59323
"montoril","linear",1600,200,0.0850138176516721,0.00896961280092077,0.0677124885581334,0.00734948695667897,0.987784375,0.00776736876485832,0.960931325972634,0.996252512530154,0.42183776372662,1.36404987645298,0.141788588878654,0.877266591478148,81.238275
"montoril","linear",200,200,0.114813910626212,0.0244951490864982,0.0916165484601076,0.0198587954116792,0.986025,0.00830051184415755,0.958329905037711,0.995401495457267,0.570307546796831,30.8296567971299,4.59462606128234,22.4012220395797,10.217535
"montoril","linear",400,200,0.102606363033449,0.0180230524886528,0.081621240881954,0.0145795498747016,0.987,0.00800968164161348,0.959765912185487,0.995878739923055,0.507432280814965,10.7585497870556,1.3949146522827,7.3887131159789,20.196305
"montoril","linear",800,200,0.0920677501870793,0.0129945195510272,0.0730929602351123,0.0105243147668744,0.98890625,0.00740630768701163,0.962615286832604,0.996770017469126,0.461310058003877,3.86900146763794,0.461791165116474,2.4974663326993,40.536315
"montoril","quadratic",1600,200,0.0864804681527415,0.00974904600186041,0.0689064479475645,0.00801501136512271,0.988296875,0.00760465708143188,0.961698008538658,0.996491513504593,0.428816789454413,1.35286565840659,0.127647483169874,0.888732227309194,80.9683
"montoril","quadratic",200,200,0.121639257512171,0.0256212145809362,0.0968800641002662,0.0211392455468402,0.98385,0.00891324225520657,0.955172027935408,0.994291349729311,0.592095320100946,32.9680203873807,4.89818824353712,26.6338444126996,10.22223
"montoril","quadratic",400,200,0.104933597857882,0.0191704186971706,0.0833745565002001,0.0154492662729646,0.9864875,0.00816391828221903,0.959009403430411,0.995629565137668,0.518433111300279,10.8714698867884,1.31483126359491,7.97263121278956,20.202725
"montoril","quadratic",800,200,0.093913742317045,0.0133799039802208,0.0743359431398593,0.0108467044213273,0.98846875,0.00754926495542364,0.961956091122239,0.99657070284007,0.469308027747122,3.81701017302499,0.445188659798287,2.59805035264105,40.731565
"montoril","sinusoidal",1600,200,0.0870982505998996,0.00954358593911134,0.0689443920413655,0.00753579796114605,0.9876,0.00782503674112779,0.960656533112184,0.996165504604706,0.427177766011573,1.43094331472704,0.138957797412179,1.14836991259795,80.714655
"montoril","sinusoidal",200,200,0.107664503058457,0.0263945902575952,0.0855941228584163,0.0207785421457567,0.98925,0.0072919261858579,0.963135568631417,0.996924279508427,0.559244621867883,28.0858347525107,3.40440336654606,24.9635491546413,10.2621
"montoril","sinusoidal",400,200,0.101947848827113,0.0180235555799445,0.0810012909145216,0.0144053080276611,0.9889125,0.00740424450695344,0.962624727850927,0.996772840884223,0.510522981587822,10.8809550735532,1.24338490930782,9.00447986709244,20.232365
"montoril","sinusoidal",800,200,0.0941501174246168,0.0146482086175417,0.0742195265669755,0.0113533132544908,0.98759375,0.00782698376162154,0.960647227419885,0.996162545863584,0.467958727836294,3.95953084541456,0.458331493171063,3.05910429055286,40.800635
"pg_apf","constant",1600,200,0.124149714666796,0.00704106721147872,0.0863414976641898,0.00713656281235835,0.9566125,0.0144057323388556,0.918746217692986,0.977268759126134,0.461842361743171,8.26763838126183,0.226731976488383,0.283914103795354,1479.13805
"pg_apf","constant",200,200,0.208153267893309,0.0198960432660575,0.151542102532821,0.0186009898750543,0.91295,0.0199339280499354,0.865693227206589,0.944642417738427,0.703669027820405,55.9625671305705,4.92323915503644,5.80122967208487,185.27363
"pg_apf","constant",400,200,0.176268572432257,0.0154319484113437,0.12536499302061,0.0146100083644794,0.926875,0.0184089291343902,0.882196959018241,0.955463843587167,0.606326960795125,31.7376572528817,1.42328099069114,2.21836142185142,369.50704
"pg_apf","constant",800,200,0.147316787964649,0.0108180615416004,0.102560340736554,0.010245379784923,0.94226875,0.016492172806128,0.900848980124011,0.967019121995558,0.527360380322633,16.6860972530824,0.571674947150153,0.794860946434971,737.14834
"pg_apf","linear",1600,200,0.0831636589820206,0.00897701483407778,0.0663344610435369,0.00735192271885776,0.989659375,0.00715321482782719,0.963757968220841,0.997105200308032,0.417226490596251,8.00107209980059,0.153554785660412,0.210364138130231,1470.99353
"pg_apf","linear",200,200,0.114241444852819,0.0244335383659099,0.091084561441165,0.0198012388406719,0.986,0.00830782763422545,0.958293259719482,0.995389083041815,0.566649486941032,59.2604869760913,2.20271360421321,3.15363195450359,184.324375
"pg_apf","linear",400,200,0.101551849233914,0.0177368516168791,0.0807956937699256,0.0143392585666124,0.9875,0.00785612818123532,0.96050771477734,0.996118092004826,0.50361138103387,32.1262500891391,0.684976835944702,1.30364636508283,367.90928
"pg_apf","linear",800,200,0.0906907223898503,0.0128692110136876,0.071979589336141,0.0103542900220807,0.9898,0.00710491379258045,0.963972490129468,0.997166628151362,0.45765811301452,16.361712741245,0.269594245589962,0.528496690081561,734.94067
"pg_apf","quadratic",1600,200,0.0847222863268316,0.0094384049441921,0.0674776402166626,0.00783382444181657,0.98951875,0.00720117816695209,0.963543817960405,0.997043400816512,0.423678773985255,7.92078046194977,0.152540586831496,0.214019433819366,1472.60214
"pg_apf","quadratic",200,200,0.121197246233519,0.0253102321880528,0.0965650751994871,0.0207999430164542,0.984875,0.00863024749789948,0.956652806953561,0.994821937792085,0.588518066615501,57.2980622282506,2.27348291128973,3.47089372981381,184.15774
"pg_apf","quadratic",400,200,0.104086706737532,0.0188726050352336,0.0827614613354349,0.0152446818271703,0.987325,0.00791022893948083,0.960247653260268,0.996034749386129,0.514732133455566,31.5855736161374,0.642551286667636,1.35663595705801,367.83963
"pg_apf","quadratic",800,200,0.0926341929697595,0.0132415539269587,0.0733351145338949,0.0106555494457059,0.98925625,0.00728982915984235,0.963145047851583,0.996927064721681,0.464903342442903,16.2361408792298,0.231560091105752,0.536545536772398,734.076835
"pg_apf","sinusoidal",1600,200,0.0856457666023708,0.00934380393195408,0.0677879540042175,0.00747538345916375,0.989309375,0.00727197893874471,0.96322564977503,0.996950710482307,0.423267082349654,7.8889556697819,0.142990875810726,0.246544373831698,1472.58333
"pg_apf","sinusoidal",200,200,0.10741200666568,0.0257351547687325,0.085473575618161,0.020276173583473,0.9896,0.00717350681326782,0.963667504184634,0.997079152226747,0.556740194443053,60.9133709302438,2.10297229886481,3.59031833541079,183.800915
"pg_apf","sinusoidal",400,200,0.10073741049418,0.0180929664693379,0.0801774372091019,0.0144894162299004,0.989325,0.00726672015939791,0.963249365969903,0.996957655370985,0.506648637204351,32.0162432555101,0.596445470248502,1.51181018201155,367.518895
"pg_apf","sinusoidal",800,200,0.0924682473183876,0.0144608419853239,0.0729749304327354,0.0112285858242714,0.9890375,0.00736285392825024,0.962813692315471,0.996829165088084,0.463357108524283,16.1938235339185,0.249779162254781,0.612508927460284,734.88622
"sir_collapsed","constant",1600,200,0.124147907708011,0.00692500411094628,0.0864866341613873,0.00707205131878764,0.957740625,0.0142255966877684,0.920180821805308,0.978047885246174,0.46628835681003,213.026244428424,7.69594253247481,97.4334759879531,34.999135
"sir_collapsed","constant",200,200,0.208245491208548,0.0195807764014916,0.150955595096243,0.0183278884099223,0.91095,0.0201395255033479,0.863346865505252,0.943064160745273,0.693945799616041,1621.91106448233,168.96875934604,874.242385049494,4.59096
"sir_collapsed","constant",400,200,0.176099660801518,0.0153248165554312,0.124916866985085,0.0143486814111869,0.927225,0.0183682878046649,0.882615882471822,0.955731728405123,0.603787278655931,851.837832204801,48.6763889512978,442.587232365941,9.14906
"sir_collapsed","constant",800,200,0.147253965653556,0.0108253249753028,0.102534636158446,0.0101732996133889,0.94338125,0.0163421337573215,0.90221699209199,0.967834179176389,0.528781194673474,430.449362322316,16.6998703775416,206.964446454326,17.90588
"sir_collapsed","linear",1600,200,0.0837859123343441,0.00877745059283545,0.066833795171207,0.0072632302474586,0.98888125,0.00741455440280718,0.962577529587885,0.996758716980163,0.41961255048935,200.610522329412,4.93102953200554,83.1957222883487,34.789575
"sir_collapsed","linear",200,200,0.114635123049979,0.0241117903334321,0.0914386660973498,0.019620899843947,0.983325,0.00905454150550982,0.954418374746517,0.994014790510898,0.558358042110469,1514.48182657252,76.1844785648345,655.104072028824,4.58906
"sir_collapsed","linear",400,200,0.102336387886486,0.017353000704506,0.0813753264362549,0.0141709125542537,0.9856125,0.00842036217859719,0.957726338189138,0.995195609700101,0.500897158059136,780.967283875471,22.3856886885326,332.3113142551,9.033185
"sir_collapsed","linear",800,200,0.0914142327592112,0.0127477810227989,0.0726660029006124,0.0103110369411714,0.9890625,0.00735454658485146,0.962851518305777,0.996840396831459,0.457938719544657,397.175767947861,10.3597630068975,166.516766163257,17.781755
"sir_collapsed","quadratic",1600,200,0.0853294323815792,0.0092503575089196,0.0679779156611244,0.00775094057930925,0.989165625,0.0073201746285042,0.963007668059089,0.996886610229582,0.426422120814421,201.810604184391,12.3275106740274,84.5877546890068,34.393365
"sir_collapsed","quadratic",200,200,0.121412791634311,0.0249457025441383,0.0968287754209589,0.0206157519233985,0.982575,0.00925239681785212,0.953347068567814,0.993614364679168,0.579542818719137,1494.98231755991,69.1533343455986,654.326833460877,4.558545
"sir_collapsed","quadratic",400,200,0.104742847810351,0.0184526294898525,0.0832940369919675,0.0150566196285381,0.98525,0.0085242118403991,0.957197794499556,0.995012816251307,0.511654099297962,770.169568597491,22.4230127985391,333.361920838406,9.046505
"sir_collapsed","quadratic",800,200,0.0934226875459895,0.0130048270827531,0.0740650597375011,0.0105540554895629,0.98825,0.0076196907745656,0.961627707526184,0.996469831266415,0.465146784720223,393.947357503284,9.8764488954889,167.35778951485,17.765345
"sir_collapsed","sinusoidal",1600,200,0.0862202916458747,0.00917918847364102,0.0682775739241414,0.00737954276971469,0.9885875,0.00751074391913013,0.962134692225304,0.99662512597199,0.425739717736466,198.127713762092,6.18519156237118,89.9003282153857,34.8404
"sir_collapsed","sinusoidal",200,200,0.108084615107944,0.0253429187662539,0.0861119524247837,0.0200012540377431,0.98765,0.0078094422015916,0.960731000566866,0.996189152617386,0.548885285613449,1512.08017287152,61.6911306943332,700.099129709084,4.546785
"sir_collapsed","sinusoidal",400,200,0.101472655359494,0.0178942066616782,0.0807613960966342,0.014419550098465,0.987925,0.00772308046539719,0.96114127469822,0.996318513556525,0.503652943695138,775.155335000593,20.1329467061884,360.528679704164,9.01877
"sir_collapsed","sinusoidal",800,200,0.0931871465596346,0.0141221628875831,0.0736615239916388,0.0110407904178737,0.98845625,0.00755330783032754,0.961937304834505,0.996564960260963,0.463754519389796,392.44826051744,10.4063517668435,180.379521773658,17.805285
"sir_laplace","constant",1600,200,0.124215392257079,0.00700391899993326,0.0865173180534831,0.00713636372747908,0.95831875,0.0141322191106771,0.920917770939114,0.978445396203744,0.469521868373675,489.651500955935,19.9760483997151,250.588104012504,15.046595
"sir_laplace","constant",200,200,0.208221082606545,0.0198120870949597,0.151269559871732,0.0184629041728925,0.913725,0.0198534158742268,0.866603956258398,0.945252478430733,0.703451270923942,3254.69794929237,371.215157217169,2360.18851759106,1.90506
"sir_laplace","constant",400,200,0.176162455351465,0.0154057694658985,0.125111100606468,0.014478659825599,0.9288,0.0181838609761514,0.884503760695736,0.95693448740312,0.611004389660602,1770.38275032477,86.4917723606079,1158.32447966675,3.90798
"sir_laplace","constant",800,200,0.147303896805678,0.0108638966781089,0.102545369873417,0.0102292453138009,0.94405625,0.0162502379730171,0.903048505106667,0.968327224971103,0.533302297153364,934.122418871513,42.2389862662058,533.923447455264,7.79714
"sir_laplace","linear",1600,200,0.0836001038249178,0.00883999381495409,0.0666710362432279,0.00727965793721695,0.990078125,0.00700836335975966,0.964397881470133,0.9972870040979,0.423549945712372,474.898011457833,11.4609943096994,214.468442930712,14.938925
"sir_laplace","linear",200,200,0.114210219977127,0.0243335927234296,0.0910574368932099,0.0197339050766338,0.98575,0.00838061379017074,0.957927273093244,0.995264492331242,0.568594597724654,3397.51461129009,273.725356859492,1694.66297880433,1.90979
"sir_laplace","linear",400,200,0.10168478782353,0.0174418099406859,0.080887766565962,0.0141636609760593,0.9881125,0.00766361120613185,0.961421699513904,0.996406021743449,0.5076024385698,1780.93892912946,64.3414073876104,864.881452597877,3.904275
"sir_laplace","linear",800,200,0.0909273136097307,0.0129098606719277,0.0722286234361789,0.0104184336831555,0.990575,0.00683233831678439,0.965161650629099,0.997498257395846,0.462350311395981,911.591721000969,33.5904828386304,421.072834525309,7.79141
"sir_laplace","quadratic",1600,200,0.0851872043266595,0.00936124945495153,0.0678502716371696,0.0077986485491209,0.990190625,0.00696891353157341,0.964570377952207,0.99733526741739,0.43035291341819,472.085080647731,11.289423880151,215.589207297431,14.93683
"sir_laplace","quadratic",200,200,0.121173620683409,0.0251082457451929,0.0965689221464975,0.0207400357924312,0.98455,0.0087210370656247,0.956181911878062,0.994655082329729,0.59026361482671,3356.5206363473,249.144903990669,1678.51614737565,1.860025
"sir_laplace","quadratic",400,200,0.104096798349789,0.018648322098168,0.0827744422139548,0.0151322948823523,0.987625,0.00781724355991293,0.960693761964878,0.996177333485693,0.518071417097948,1745.15476656446,93.9660355403356,858.80090558261,3.93165
"sir_laplace","quadratic",800,200,0.0929230283044723,0.0131671573547848,0.0736007965308197,0.0106312890116599,0.98961875,0.0071671052902959,0.963696064640773,0.997087385070868,0.469919104250175,906.02170771468,41.0650561187843,424.900845552421,7.805345
"sir_laplace","sinusoidal",1600,200,0.086085788417802,0.00928224959941155,0.068140133399361,0.00744896067283288,0.989846875,0.00708873721220302,0.964044080910261,0.997187020621221,0.429825022748048,467.409485543499,16.8785496287193,229.210981980901,15.01624
"sir_laplace","sinusoidal",200,200,0.107362852961876,0.0255301958756111,0.0854806803934647,0.0201142999479856,0.9902,0.00696561555068898,0.964584763938726,0.997339278081002,0.559052668345515,3483.45679223654,294.357962839189,1807.85276937128,1.90306
