"f","Tt","method","replica","elapsed_time","ess_theta_01","ess_theta_02","ess_W1","ess_W2","ess_theta1_mean","ess_theta1_min","ess_theta2_mean","ess_theta2_min","ess_sec_theta_01","ess_sec_theta_02","ess_sec_W1","ess_sec_W2","ess_sec_theta1_mean","ess_sec_theta2_mean","W1_mean","W1_median","W1_var","W1_ci_lower","W1_ci_upper","W2_mean","W2_median","W2_var","W2_ci_lower","W2_ci_upper","log_lik","rmse_theta1","mae_theta1","coverage_rate_theta1","theta1_ci_width_mean"
"constant",1600,"montoril",10,80.011,79.0368873719586,409.272386100019,83.2337405508718,842.6735736033,190.972154691096,38.8352401606138,2118.69435065395,169.394567043325,0.987825266175384,5.11520148604591,1.0402787185621,10.5319715239567,2.38682374537371,26.4800383778974,0.00240124575135447,0.0022668054102519,6.21108836122681e-07,0.00112321604780718,0.00397149455609573,9.23854165698185e-06,8.8884047117692e-06,5.88625919462847e-12,5.0738174022312e-06,1.40766339061976e-05,-3205.69116181331,0.125351535421235,0.0892126759012574,0.955,0.475010307656833
"constant",1600,"montoril",110,81.756,75.7755467006488,252.116373873012,74.6213807660379,569.580929574175,167.169179242912,7.30713838139803,1658.4904543693,50.9720382075906,0.926849976768051,3.08376600950404,0.912732775160696,6.96683949281001,2.0447328543827,20.2858561374003,0.00205245368697108,0.00197789712415067,2.97594972705904e-07,0.00110920958454483,0.00314455525730812,9.17607559514217e-06,8.83696106376155e-06,5.49886535201793e-12,5.18927108277984e-06,1.39939169964348e-05,-3145.15492262403,0.128761831336786,0.0901958491542739,0.95875,0.465140123446572
"constant",1600,"montoril",111,81.939,114.88991660265,463.011008257945,70.1743229700148,422.398449955767,198.520525506636,25.2654339839906,2047.81462129235,262.437824084039,1.4021395990023,5.65067926454979,0.856421520521544,5.15503545266316,2.42278433354857,24.9919406057232,0.00242455474830321,0.0023640049892585,5.2171025081562e-07,0.00101392653193933,0.00382260294378793,1.0581550044869e-05,1.01419350409702e-05,8.87588734141079e-12,5.57386880378667e-06,1.65051218334446e-05,-3145.99164079225,0.125687789518039,0.0934503865483175,0.965,0.480733938920842
"constant",1600,"montoril",112,79.481,62.5213451610459,286.624137554575,83.7501391456725,766.701437002441,191.173688457745,45.5955168249738,2207.2126411985,188.74036781273,0.786620011839885,3.60619692196342,1.05371270046517,9.64634864939345,2.40527532942143,27.7703179526994,0.00244617359828898,0.00235162552017852,5.71734842310065e-07,0.00113264937300797,0.00397878674764262,9.14183107504794e-06,8.75153360395203e-06,6.02677699648065e-12,5.0651642119995e-06,1.41646347650465e-05,-3179.9417416248,0.121737268902468,0.0862925758630504,0.97125,0.479247320686984
"constant",1600,"montoril",113,82.678,90.3513284603127,532.721164669184,67.2476860033085,649.420476996499,153.267896479977,23.6925584645122,1563.75504313638,40.7414379057568,1.09280979777344,6.44332427815361,0.81336856241453,7.85481599695807,1.85379298580005,18.9137986300633,0.00197509518735519,0.00185923856810615,3.95034259576394e-07,0.000947867654038145,0.00324919934451062,8.84469190417485e-06,8.49836472337045e-06,5.28234352796611e-12,5.0191266287186e-06,1.35974461737552e-05,-3133.94675048464,0.12636058227087,0.0839329358357616,0.92875,0.456112110710679
"constant",1600,"montoril",114,80.309,152.223816530525,482.18790101374,95.4916394641431,762.263317292093,188.113375848178,9.37369892356189,2066.23890180904,198.317308882533,1.89547642892485,6.00415770354183,1.18905277695082,9.49163004510195,2.34236979476992,25.7286095183484,0.00228093936837018,0.00221162013267705,4.35727366836567e-07,0.00111135858664138,0.00359050188523015,9.49179101576451e-06,9.11831224412161e-06,6.39513426711289e-12,5.23497073252857e-06,1.4656672635666e-05,-3165.33416241139,0.12932483969153,0.0902825710949428,0.9675,0.465859393167071
"constant",1600,"montoril",115,82.281,68.6878381280447,308.279274528684,110.594581310731,464.292060245841,176.119582267629,34.6392762932864,1989.8850702806,237.514532771074,0.834795859652224,3.74666416947636,1.34410837630474,5.64276151536613,2.14046477640803,24.1840166050558,0.00223477994237135,0.00214199659362653,4.00446448961337e-07,0.0011085702309083,0.00353984825597223,9.17995289283293e-06,8.85270212641009e-06,5.7731689406197e-12,5.00819217703783e-06,1.40024502759918e-05,-3145.27859419196,0.127377635023025,0.0931406752929809,0.946875,0.472256504452604
"constant",1600,"montoril",116,82.16,114.974464756861,654.642168710824,65.9597846704225,615.063016325549,180.138759783416,15.0937781642077,1888.50565678705,235.821978419932,1.39939708808253,7.96789397165074,0.80282113766337,7.48616134768195,2.19253602462775,22.9857066308064,0.00223213851374376,0.00213355771535651,4.73375234074615e-07,0.00106319857190068,0.00360544765614742,9.12285078480798e-06,8.80603166280626e-06,5.57848140409174e-12,5.00432297297097e-06,1.3953686522575e-05,-3140.77264190099,0.1205922692378,0.0880503852568722,0.964375,0.471830056679736
"constant",1600,"montoril",117,79.562,64.4521893265046,199.829074395116,77.3797008012708,803.376143979806,181.580009757841,7.22781664449073,1862.97633172568,35.9393686289583,0.81008759617034,2.51161451943284,0.972571086715653,10.097485533041,2.28224541562355,23.4154034806274,0.00219823246299773,0.00208212182200883,5.15823160925454e-07,0.00103488018193184,0.0036377419704306,9.18395862443994e-06,8.85076057204116e-06,5.63688749278224e-12,5.06105851206577e-06,1.38755685164712e-05,-3144.98711677597,0.122209057573457,0.087496967054006,0.96375,0.468168734818233
"constant",1600,"montoril",118,79.525,120.573664033644,364.724612258315,89.0772939321921,458.06634054257,181.114476203437,40.2524232236631,1874.28905372663,165.670872920617,1.5161730780716,4.58628874263835,1.12011686805649,5.76002943153184,2.27745333169993,23.5685514457923,0.00220332923916462,0.00214100672332442,4.5644342161417e-07,0.000946376841155142,0.00355824263510954,9.28178512741889e-06,8.92899523223484e-06,5.95346018060704e-12,5.090083630834e-06,1.42330031340601e-05,-3164.71191306801,0.122290697278784,0.0866200362478472,0.963125,0.463532730760429
