"f","Tt","method","replica","elapsed_time","ess_theta_01","ess_theta_02","ess_W1","ess_W2","ess_theta1_mean","ess_theta2_mean","ess_sec_theta_01","ess_sec_theta_02","ess_sec_W1","ess_sec_W2","ess_sec_theta1_mean","ess_sec_theta2_mean","z_W1","z_W2","z_theta_01","z_theta_02","z_theta1_out","z_theta2_out","W1_mean","W1_median","W2_mean","W2_median","log_lik","rmse_theta1"
"quadratic",200,"montoril",1,53.819,235.861525703911,1010.78547367104,103.755761271652,236.730166282903,122.300124726047,1231.72283582918,4.38249550723556,18.7812013168405,1.92786490406088,4.39863554289196,2.27243398662269,22.886393946918,-0.988419313517022,-1.55318600601573,-0.355278306738654,0.817050643278299,0.28,0.57,0.00341990183850716,0.00319365210247967,3.94275250275741e-05,3.42303113913458e-05,-537.549352551627,0.0581771163475165
"quadratic",400,"montoril",1,103.66,186.2423822113,875.911011464838,44.5231427691347,202.811541627448,79.8533291763427,902.996945564433,1.79666585193228,8.44984575983829,0.429511313613108,1.95650725089184,0.770338888446293,8.71114167050388,-0.843173481522398,-1.25799050814525,-3.2852734640727,2.88788614576429,0.3,0.48,0.00201683483906237,0.00188344717518432,1.70710911086291e-05,1.57803092654424e-05,-1053.83893310534,0.0622539024953086
"quadratic",800,"montoril",1,218.477,85.0717429275181,403.433923932453,43.2638099115191,145.873035195871,69.2874150324904,927.906772653798,0.389385349155829,1.84657389076403,0.198024551378493,0.6676814273167,0.317138257265023,4.24715998779642,-0.672389426975391,0.388197590552438,1.97408930925898,-2.76704520642815,0.39625,0.44375,0.00146415854083643,0.00137592892811558,1.04664811419141e-05,9.77607852424592e-06,-2111.15275691264,0.0668636466262477
"quadratic",1600,"montoril",1,440.54,57.4398082463428,265.464130014702,14.5986868846774,129.098480193272,47.5390623496923,625.521894280241,0.130385000786178,0.602588028362241,0.0331381642635796,0.2930459894522,0.107910887432906,1.41989806664603,2.69857165844786,2.24337282037577,-1.01144186110131,0.123042330348327,0.409375,0.48875,0.000881690136284426,0.000827348577031509,5.63795065316099e-06,5.48560825836018e-06,-4211.81611945261,0.0579880909102468
"quadratic",200,"pg_apf",1,224.136,484.647578797564,883.94546690294,67.8062610859932,110.812788543132,1734.3982566607,2769.91461707109,2.16229244207786,3.94379067576355,0.302522848118969,0.494399777559748,7.73815119686576,12.358187069775,-1.44172029226024,-1.02065441398619,1.75582243880849,-1.36336872342952,NA,0.095,0.00158354040292787,0.00136838536671893,0.000424682077217073,0.000388031896336656,-2024.4787425844,1.31443742513046
"quadratic",400,"pg_apf",1,359.882,417.225860747224,888.175578982746,23.7951119305417,33.0963458997693,690.582492524614,1760.7554912615,1.15934073042615,2.467963329599,0.0661192055466562,0.0919644380651694,1.91891367871862,4.89259115838385,-19.2578512801106,2.59824598633117,2.17325116090533,-3.50736149485946,NA,0.435,0.000686422510708718,0.000674947618895693,0.000154650921305681,0.000136657548066242,-3996.03768207643,1.23553055518298
"quadratic",800,"pg_apf",1,902.304,176.772720058593,129.822586189571,10.7978063932931,33.7906760860753,313.223765463858,1598.47174186454,0.195912597149733,0.143878987779697,0.0119669273252619,0.0374493253782265,0.347137733473262,1.7715445591115,-31.4378742810744,-4.45383315800714,4.00157751664369,-9.45341508639171,NA,0.3625,0.000224151572786407,0.000228956446248585,6.42456120381264e-05,6.18494646940471e-05,-9057.05413460215,1.30146259783836
"quadratic",1600,"pg_apf",1,1444.843,136.943933532154,517.904988237678,12.4639077323666,13.098533493577,340.686233954014,1963.64839374912,0.0947811862826299,0.358450702420732,0.00862647895471456,0.00906571405583655,0.235794639247319,1.35907388813118,-61.7391237877584,-1.86473181414507,-0.114597016757337,-0.902323623153062,NA,0.315,9.15459112159109e-05,9.53546663403305e-05,1.80974331666532e-05,1.519986692723e-05,-16925.3647441988,1.32750014433851
"quadratic",200,"sir_collapsed",1,40.7349999999999,4646.08699217793,4739.32006358569,2872.30193262247,5532.81993439128,7394.71774699592,7309.33400341136,114.05638866277,116.34515928773,70.5118922946478,135.824719145484,181.532287885011,179.436209731469,-1.21451644984907,-1.54049839402694,-0.623882789189777,0.784281343241185,0.1,0.03,0.00334087659343127,0.00300056699571717,3.79695711327217e-05,3.2888605034048e-05,-537.477921253894,0.0566523184511862
"quadratic",400,"sir_collapsed",1,49.4059999999999,4188.83787927608,4695.73345167071,2993.31856855962,4562.08745040334,7312.97760442743,7384.20257245506,84.7839914033939,95.0437892497007,60.5861346508445,92.3387331579837,148.018005999827,149.459631875786,-0.498660244384318,-1.03451192518247,0.383558313736929,-0.746135301501593,0.045,0.08,0.00190464218947941,0.00178904486549484,1.73626961073035e-05,1.61763092804503e-05,-1053.66286391363,0.0618011495781558
