"method","f","Tt","replica","N","burnin","K","elapsed_time_s","W1_mean","W1_median","W2_mean","W2_median","loglik","rhat_theta01","rhat_theta02","rhat_w1","rhat_w2","rhat_theta1_mean","rhat_theta1_max","rhat_theta2_mean","rhat_theta2_max","rhat_max","ess_theta01_chain1","ess_theta01_chain2","ess_theta01_chain3","ess_theta01_tail_chain1","ess_theta01_tail_chain2","ess_theta01_tail_chain3","ess_theta01_cv","ess_theta02_chain1","ess_theta02_chain2","ess_theta02_chain3","ess_theta02_tail_chain1","ess_theta02_tail_chain2","ess_theta02_tail_chain3","ess_theta02_cv","ess_w1_chain1","ess_w1_chain2","ess_w1_chain3","ess_w1_tail_chain1","ess_w1_tail_chain2","ess_w1_tail_chain3","ess_w1_cv","ess_w2_chain1","ess_w2_chain2","ess_w2_chain3","ess_w2_tail_chain1","ess_w2_tail_chain2","ess_w2_tail_chain3","ess_w2_cv","ess_theta1_mean_over_t_chain1","ess_theta1_mean_over_t_chain2","ess_theta1_mean_over_t_chain3","ess_theta1_mean_over_t_tail_chain1","ess_theta1_mean_over_t_tail_chain2","ess_theta1_mean_over_t_tail_chain3","ess_theta1_mean_over_t_cv","ess_theta1_min_over_t_chain1","ess_theta1_min_over_t_chain2","ess_theta1_min_over_t_chain3","ess_theta1_min_over_t_tail_chain1","ess_theta1_min_over_t_tail_chain2","ess_theta1_min_over_t_tail_chain3","ess_theta1_min_over_t_cv","ess_theta2_mean_over_t_chain1","ess_theta2_mean_over_t_chain2","ess_theta2_mean_over_t_chain3","ess_theta2_mean_over_t_tail_chain1","ess_theta2_mean_over_t_tail_chain2","ess_theta2_mean_over_t_tail_chain3","ess_theta2_mean_over_t_cv","ess_theta2_min_over_t_chain1","ess_theta2_min_over_t_chain2","ess_theta2_min_over_t_chain3","ess_theta2_min_over_t_tail_chain1","ess_theta2_min_over_t_tail_chain2","ess_theta2_min_over_t_tail_chain3","ess_theta2_min_over_t_cv","ess_bulk_min","ess_sec_w1_bulk","ess_sec_w1_tail","ess_sec_w2_bulk","ess_sec_w2_tail","ess_sec_theta1_mean_bulk","ess_sec_theta1_mean_tail","ess_sec_theta1_min_bulk","ess_sec_theta1_min_tail","ess_sec_theta2_mean_bulk","ess_sec_theta2_mean_tail","ess_sec_theta2_min_bulk","ess_sec_theta2_min_tail","ac_ratio_mean","ac_ratio_at_changepoints","w1_mh_acceptance_rate","w2_mh_acceptance_rate","ce1_shape","ce1_rate","ce2_shape","ce2_rate"
"amh_montoril","constant",1600,1,110000,10000,NA,81.3134386539459,0.00176419094636756,0.0016829783214767,8.17133250712234e-06,7.8982414658829e-06,-3220.55722654809,1.00569918071602,1.00045208063612,1.0034754141704,1.00059062458585,1.01031253621597,1.04003278590072,1.00148428262811,1.0050855878948,1.04003278590072,100.837160170517,88.5076549489483,117.861459455839,258.294015654495,192.827520342168,399.373567520988,14.3935951713611,427.712182290448,322.68715293013,415.79217295572,1551.06474365333,940.976288842165,1886.69394070104,14.7930017779699,80.9928891017949,64.0944402327481,85.3609035464833,167.594056861499,211.999824494955,237.27733124032,14.6214815714312,851.296869898607,716.875992122265,1197.8238179427,2135.32887905227,1662.43061138973,2560.96568801399,26.9139911243783,153.206931382649,147.481239350394,142.08026969919,423.7325791734,401.751944465007,384.567943254498,3.76999804435398,14.5008245999892,40.5355451995607,12.9599030447502,75.8139451186238,59.303343362964,38.4147240051971,68.3646820298875,1412.31266345985,1395.75255793684,1351.82162816669,6841.67265202457,6427.68952669518,6571.41749354416,2.25442735215338,95.8168303795691,191.979129816386,208.609850066047,586.187341502948,498.33155265315,704.704234845849,36.7989198840502,12.9599030447502,0.996057852706055,2.06108682200425,10.4693256611808,26.2604670814601,1.88415265568423,5.21110146351974,0.178332448363202,0.932366732653789,17.3687484730583,84.1395071378225,1.17836401910571,7.20898477799772,0.4391364375,0.43919696969697,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",1600,1,220000,20000,NA,163.112182617188,0.00176434271014294,0.00168944341634195,8.09357649116166e-06,7.82451698213988e-06,-3220.70539920542,1.00420158928287,1.00113804087634,1.00468787345586,1.00052484257885,1.0064572019072,1.04569862390471,1.00089257756926,1.00562763047047,1.04569862390471,163.883809678959,198.900004155804,178.384852021448,343.907029695997,405.079920016843,347.046873583276,9.75331676644712,799.748747902475,614.563340211899,710.715755803241,2403.72570655121,1715.43538197246,2386.90607789338,13.0749594731563,136.046930006895,202.568551886731,106.45897855801,361.495624703358,421.624851480628,466.217436428317,33.1787223853247,1080.84371274445,1915.34558700121,1568.59344920763,3693.73322177256,3652.84221651715,3498.26495698739,27.5521207576586,276.050016205721,279.163786757758,271.848686190602,703.370336848333,749.091178964063,697.280529808872,1.33158008600642,55.6572510196024,30.9988611461794,25.5553137359421,135.780907794447,72.7701840591673,152.911646000133,42.8847978594033,2526.31180637985,2547.09034369972,2394.98415625889,11096.5665344498,11526.7012271576,10433.9397673183,3.31305549883775,344.748580145913,443.815820489426,97.6735135981068,1200.65067870016,1219.62952927126,1488.90145490993,60.3451083178193,25.5553137359421,0.834069704812837,2.21623927105287,6.6263825019196,22.6453546418509,1.69239361386997,4.31218763407202,0.34122068705454,0.832438789156019,15.4881858966287,68.030274357205,2.11356732902663,7.36088904847776,0.439688457386364,0.439681818181818,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",1600,1,55000,5000,NA,41.1239414215088,0.00184143588156716,0.00177561831972147,8.41439763003651e-06,8.10632760946258e-06,-3220.1752714746,1.01674637167441,1.00352822030756,1.02724841271488,1.00099685504114,1.01985830475949,1.08277515576933,1.00300078074949,1.01455679487844,1.08277515576933,73.1223169062724,55.1224046609868,55.0036236141877,119.443942800696,112.030551057947,185.499761154964,17.0698061966913,269.222581374427,275.251279640646,147.826438620383,925.874210794695,1278.77748005429,766.425694383404,31.1533823794768,65.2727842269804,49.197271183805,67.3111367635515,133.680481473668,133.656078413686,125.885590064223,16.3748062688547,415.796736210924,426.711758256768,475.255287567021,1025.39087106496,1200.33320490208,869.833710046567,7.20574590675232,77.8213395003589,68.1469916993075,79.5435651693155,208.656142113927,200.187466470532,219.87359162661,8.17247611447602,4.18563425931874,5.3302515953793,10.0932323558019,21.9149986229794,26.6860519101612,27.22518833772,47.932481281296,778.443483270869,658.312950813193,833.088275871895,4547.00710582461,3636.58874039401,4558.98400517242,11.8169753964679,35.6854306306718,34.8103775800285,111.834696298496,175.287626382015,452.314775217195,406.051841771487,72.7572763444712,4.18563425931874,1.58722101945319,3.25067288914458,10.1108191928669,24.9341584396055,1.89236091703157,5.07383618645063,0.101780960546003,0.532901221659588,18.9292041658177,110.568368416322,0.867753172413758,4.2624228204531,0.438655522727273,0.438739393939394,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",1600,1,75000,5000,NA,57.3004746437073,0.0018272833141568,0.00170510544379172,8.22108616815765e-06,7.89409253080107e-06,-3220.33750796684,1.01296232003088,1.00371650522146,1.03612362684053,1.0038963156833,1.01289460108919,1.05544015051154,1.00205567987559,1.0129094149895,1.05544015051154,47.4797271175814,61.0996069522451,100.052896370795,140.791171712323,299.154653549483,219.84019048089,39.2339817220438,310.847553741397,413.454909176224,254.747237602581,1405.18385472699,1703.27613941861,1127.4767474233,24.6611103888524,37.4795613116133,26.4899460008084,42.8629588571905,68.5946352660026,143.601993829469,188.633106324832,23.4337196942862,508.368641908534,622.83303500224,433.267353105573,1158.63638744396,1268.26457841279,1392.80526082434,18.3055499046012,99.4650142201212,110.107773854792,99.5190729497374,269.132195660593,298.298306902076,271.64607112647,5.94876970476277,15.1851330780724,20.8078122272089,11.3336219762297,48.106696037791,44.2797463912108,26.0521569820897,30.2025373598046,941.278662999395,1047.20245858051,932.001432991033,4757.80479611803,5283.09151465076,4675.20951682093,6.57441568287147,30.4828691848823,95.5442210666734,63.8692527268834,252.721570777942,409.354998611911,249.6705250044,51.3981892339715,11.3336219762297,0.654088147518151,1.19710413731338,8.87197959649647,20.2203628268061,1.73584974362938,4.69685805107286,0.265008853286,0.839551440662876,16.4270657241888,83.0325547162031,0.53198283913744,4.41046208341829,0.439426133333333,0.439368888888889,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",200,1,110000,10000,NA,10.7739517688751,0.0175658792495515,0.0165111885543003,8.29862912409744e-05,5.67571319617945e-05,-369.222570155444,1.00070335748235,1.00019053590633,1.00212739518997,1.00039729706414,1.00136348132843,1.00439427837453,1.00026116599932,1.00087122265146,1.00439427837453,640.080689396388,728.757796990188,850.009803170307,1646.41879179124,1686.16601619471,1408.16084618257,14.2485998773672,2427.71479971728,2781.61067398675,3479.82076711651,3229.30082051344,5217.49574020283,8187.28733458024,18.4837740055072,328.060047854357,356.042843963992,341.11674708975,588.737461473572,384.703346950139,730.262124347233,4.09721023287436,559.760303056942,552.167309480958,811.449570816775,882.532742842202,623.820455278447,1445.56496508143,23.0147719569998,1118.21995401376,1126.74896263317,1189.35062491155,2791.82460208865,2752.8498637557,3021.24374014472,3.39281387274674,339.83046887912,443.723767635569,423.920211788998,961.465960504151,815.178436526309,1048.98124410553,13.7051368903896,7267.34158249091,5821.97515256091,8580.84881604368,10946.4975972558,8615.56430872719,12612.5249115466,19.1040798661442,954.904344779415,810.814995294129,1388.79606277567,1374.80476455191,942.178452424458,2199.27016113741,28.6119351562613,328.060047854357,30.4493703788512,54.6445235790247,51.9549664844458,81.9135598315701,103.78921105292,259.127260078698,31.5418591218179,89.2398612068907,674.528876534007,1016.01509196275,88.6308353020513,127.604503347006,0.440379681818182,0.440342424242424,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",200,1,220000,20000,NA,20.8346478939056,0.0174689156743902,0.0164992311262536,8.47628708768237e-05,5.74729323695159e-05,-369.251251087809,1.00076684825567,1.0001514527056,1.00206769365487,1.00051680694325,1.00075692569378,1.00250589860135,1.00010275841413,1.00028206040451,1.00250589860135,1408.73282668405,1441.03117545953,1442.74866223616,4087.9936339126,3048.08151247753,3934.81587140184,1.33925108678911,6698.84258657457,7055.31642406038,5560.31927571105,13275.2081244083,11403.9064348449,10153.4955659608,12.1284084418015,699.871211151447,611.812136721067,637.152994856624,1000.07030291494,835.641222756215,963.435069608405,6.97837275189695,1282.14227483565,1144.2940081373,1099.15993102529,2062.86584809408,1512.0854093892,1606.10591403743,8.11144116412889,2149.67643449644,2172.06321687053,2261.19747300702,5435.164008896,5354.89079862619,5490.47897638878,2.68857795730017,761.889832983791,783.926846889527,885.206791979752,2181.63328688566,1629.97221888508,2016.71211148367,8.11573610602706,13797.7174591881,12236.667802086,11634.1775707744,20738.0504392384,17570.1675276333,18446.4896539262,8.89282785386935,1849.9819431602,1664.0250978451,1606.1212087885,2966.79735296908,2510.19787524488,2073.63647439682,7.46528169905741,611.812136721067,33.5916985357917,48.0003457705407,61.5389461518422,99.0113132028257,103.177958439376,260.871411725938,36.5684045568465,104.711790570927,662.248650874684,995.363614726819,88.7935304969249,142.397287829227,0.439937954545455,0.439945454545455,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",200,1,55000,5000,NA,5.75462102890015,0.0188711064483304,0.0178257678699414,7.47248072218263e-05,5.24835616415057e-05,-368.242503330576,1.00243206118471,1.00071893203228,1.00809035963114,1.00393115124799,1.00305123612473,1.0089837435023,1.00060252733302,1.00252522146406,1.0089837435023,419.641653881192,312.433900649846,414.842126858739,901.158847193925,774.971953318737,986.521604434241,15.8403228148371,2083.78196236659,1492.98962896508,1538.18987033783,4018.15163857568,2845.46667518781,2185.94313803012,19.2859812186795,226.65844325906,199.377364550142,210.46896704824,450.169300833421,449.176427773491,267.639224075724,6.46642162070965,344.868212962674,288.430186581637,296.023424146636,682.195619225547,530.851005722753,355.859361978938,9.88745165426577,623.641487981654,623.111267030701,565.508886082068,1562.98674195873,1507.4221043413,1489.65159381123,5.53080131759701,219.701203169035,177.55092427131,132.183971743143,533.946425132036,385.421621714789,427.403908815829,24.8009912849573,4946.45501313671,4304.67578290333,3690.05141710401,8048.95806537392,5513.44246979081,5874.25183706259,14.5639871456139,604.485390403219,509.097883377074,469.579674439124,1098.32072608214,995.562937994601,546.606063236435,13.1422071273058,132.183971743143,39.3872058856289,78.2274451388956,59.9289182086395,118.54744487943,108.372295039009,271.605503491766,38.1782226954093,92.7856799692832,859.56225236992,1398.69472289338,105.043475038138,190.858915046931,0.441464,0.441393939393939,NA,NA,NA,NA,NA,NA
"amh_montoril","constant",200,1,75000,5000,NA,7.30316925048828,0.0181346230310749,0.0169020950986752,8.53794941624198e-05,5.73687586911194e-05,-368.760853774072,1.00071286797042,1.00005619887498,1.00136894900486,1.00079664346219,1.00126821249728,1.00477352496189,1.00019263709401,1.00053448814775,1.00477352496189,552.390154157255,503.267302817939,641.084743429237,1413.70415577149,1045.00877598891,1332.94681460556,12.3499894381197,2489.71905220293,2610.59797672706,2629.90296098449,3970.33522520703,4965.8459296524,3918.66367171388,2.94860889925351,270.913215939427,241.964248619004,274.244533996825,350.754196536404,324.490141820684,559.176210919285,6.76655156922405,357.424417841175,313.960243466858,505.17138332669,477.814628502541,533.371716904309,611.319937678036,25.557574352688,814.450885600384,778.630413105493,832.326857790536,2084.64483771678,1998.96617175321,2125.91268205399,3.38211777335843,324.962011301959,343.25048380149,258.27424034655,588.589659495508,626.77341814054,642.838848209821,14.4825721179179,4906.29386027401,4986.1662705564,6143.09378645143,7158.72421587667,8565.47772016669,8370.17296329401,12.949275144444,632.566998349718,544.747517621857,836.111853924076,767.488035757331,711.448712810528,1106.32328440904,22.2700154847858,241.964248619004,37.0952947477309,48.0276691537655,48.9410015819198,65.425654549988,111.520198651555,285.443862276285,44.4960263354478,80.5937312018554,671.803390007151,980.221595630971,86.6154099204842,105.089723301431,0.440799133333333,0.440804444444444,NA,NA,NA,NA,NA,NA
"amh_montoril","quadratic",1600,1,110000,10000,NA,86.0149829387665,0.00138390933312376,0.00133207701043312,6.81956645005497e-06,6.62539523735683e-06,-3216.54031146524,1.01065713294817,1.00187883049541,1.00856893851493,1.00119817459117,1.01213116929711,1.06777622098829,1.00195075414051,1.01382715032017,1.06777622098829,63.0595302142822,137.673113159981,74.0870179921401,197.683921173726,268.652184753325,178.741912679255,43.9641333857934,306.272711267208,400.808957227791,298.100566537801,844.299793818452,1433.33441464424,1392.11731538491,17.0375210900085,102.840355964185,128.358718350498,82.7475319458745,307.512163890577,443.99671343955,279.925159022936,21.8438208909083,934.560442238816,661.578988886535,1001.16031346954,1623.96538426563,2011.89170291168,1926.32869331165,20.7838647169341,104.940604722015,100.182514563583,97.4181738317675,273.22940545461,264.806533791353,270.982954921478,3.77303472638488,6.74821093778492,4.20083586208453,10.2046920745842,34.4357873193788,42.9584811871172,43.8302001053177,42.735391409254,862.542000745758,806.860992490654,781.143783791685,4414.54334367224,4136.72789463464,4058.83100200195,5.0937363521767,40.6254244090435,30.9095370351491,108.479900711538,519.163872761648,679.149166344164,477.698209707816,70.4286492406764,4.20083586208453,1.19560979320773,3.57509998123807,10.8650889683269,18.8800291388969,1.22002703641436,3.17653269371826,0.0784539007882955,0.400346383186444,10.0278111007683,51.3229578481103,0.472306370600161,6.03573767062464,0.439591732954545,0.439454545454545,NA,NA,NA,NA,NA,NA
"amh_montoril","quadratic",1600,1,220000,20000,NA,162.79892206192,0.00136307723131865,0.00129607958225204,6.84665530228952e-06,6.6362733380715e-06,-3216.42182087339,1.00371768011124,1.00087400933844,1.00819956983405,1.00108512561903,1.00661000451999,1.02974514495681,1.00118315062436,1.00545697222918,1.02974514495681,172.817468913016,172.606401659708,129.663069681097,351.529818794828,481.164890226091,382.020408788358,15.6947051738521,573.303360722826,608.746575299104,452.611249605396,1784.17926107461,2297.26285831026,1345.33160789502,15.0223045184295,147.496694013553,241.421794327683,224.190317357395,396.314889867038,764.627698834504,488.01920655576,24.4660978938222,1115.21805666028,1309.03743591982,1071.28002325755,4118.13354846835,3819.19913168025,2981.5726417347,10.8573608362734,206.788349100733,191.239329901705,199.650080558635,547.963139968072,521.224884267393,551.160841570159,3.9067119163256,18.3232133415973,19.4253208246362,12.324188957196,173.632303295877,119.061236694205,141.387470978797,22.8964613568499,1539.66402699619,1429.53074929746,1587.66229893861,6896.26305706995,6682.13746676364,7272.67378479418,5.33754866753768,237.297223528389,92.3314025980577,275.897746456296,1252.1588059671,1257.12339553338,913.129572563203,47.9498510936185,12.324188957196,0.906005347857607,2.43438276401056,6.85027912062042,25.2958281069086,1.27020711489774,3.3658892394856,0.112551195729835,1.06654455138122,9.45745836333355,42.3606186682672,1.45760930430567,7.69144408395308,0.439669369318182,0.439663636363636,NA,NA,NA,NA,NA,NA
